id	user	nice	cntx	major_fault	duration	R*duration	G*duration	B*duration	fsync	bind	recvfrom	sendto	dup	poll	energy
55	3197.7	0.7	120209.0	2.0	200	38200	38400	38800	89.0	2.0	1055.6	418.1	17.5	495.4	220.425727245
56	3302.3	0.7	121374.4	2.0	200	38600	38600	39000	89.0	2.0	1072.1	426.9	18.5	489.1	221.207369132
57	3295.1	1.0	121868.5	2.0	200	38400	38400	38800	89.0	2.0	1073.8	421.4	17.6	513.9	220.494454726
58	3299.5	0.9	121226.3	2.0	200	37600	37800	38200	89.0	2.0	1080.1	428.0	17.7	497.2	220.396277225
59	3205.2	0.8	120121.3	2.0	200	38000	38000	38400	80.1	1.8	969.3	385.7	14.9	456.9	220.592155796
60	3291.6	0.9	123154.4	2.0	200	38000	38000	38400	89.0	1.8	1069.7	431.7	17.3	509.0	219.957903705
61	3182.8	0.9	120621.6	2.0	200	38400	38400	39000	89.0	1.8	1049.2	420.7	16.6	486.2	219.40442404
62	3250.88888889	0.666666666667	121008.444444	2.0	200	38800	38800	39400	89.0	2.0	1049.8	418.9	16.4	505.0	220.552149276
63	3167.2	0.9	120749.0	2.0	200	38800	38800	39200	89.0	1.8	1076.7	425.1	15.5	490.2	219.338790254
64	2989.5	0.7	114707.9	1.9	200	38600	38600	39200	89.0	1.8	1060.4	421.0	15.8	491.7	219.718232498
65	3092.9	0.5	119628.7	2.0	200	39200	39200	39600	80.1	1.8	954.2	381.5	13.8	445.1	218.305147522
66	3213.1	1.6	121284.1	2.0	200	38000	38200	38600	80.1	1.4	957.2	382.5	14.3	433.7	219.611434819
67	3295.7	0.4	122535.8	2.0	200	38600	38800	39200	89.0	2.0	1075.9	415.8	16.7	487.9	220.794844261
68	3173.33333333	0.666666666667	122028.0	2.0	200	38400	38600	39000	89.0	1.8	1062.2	423.6	21.6	490.1	220.693652222
69	3163.7	0.9	121359.9	2.0	200	37800	37800	38200	89.0	1.8	1072.1	422.3	21.7	494.8	219.8822208
70	3128.8	0.9	119933.3	2.0	200	38800	38800	39200	88.5	2.0	1058.1	429.5	23.2	489.5	219.053572934
71	3250.6	0.6	124802.6	2.0	200	38400	38600	39000	89.0	1.8	1051.0	419.6	22.9	489.9	220.672607985
72	3619.9	0.9	122679.1	2.0	200	39800	39800	40200	89.0	2.0	1052.9	424.5	23.1	480.9	226.397496576
73	3560.33333333	0.777777777778	121524.888889	2.0	200	39400	39200	39600	89.0	1.4	1050.3	419.0	22.3	498.2	228.55329963
74	3601.2	0.6	121912.6	2.0	200	39200	39200	39600	88.1	1.8	1012.5	415.4	21.3	468.9	224.892151918
75	3479.88888889	0.888888888889	120781.555556	2.0	200	38800	38800	39200	89.0	2.0	1045.5	411.9	21.9	475.9	223.274734555
86	3535.71428571	0.857142857143	120602.285714	15.0	200	38000	38000	38400	44.5	1.0	537.0	216.7	11.5	256.7	211.247784347
87	3517.6	1.3	119124.4	2.0	200	39400	39400	40000	89.0	1.8	1068.8	423.2	22.3	509.3	222.034827785
88	3628.33333333	1.33333333333	121421.444444	2.0	200	39600	39400	40000	89.0	1.8	1057.9	427.1	21.9	502.6	222.74542303
89	3593.0	1.0	119952.1	2.0	200	39800	39600	40200	89.0	1.8	1055.4	419.5	22.4	484.7	224.4865364
90	3455.9	0.6	119619.5	2.0	200	38600	38600	39000	89.0	1.6	1057.1	416.2	22.6	485.6	222.987362505
91	3516.2	0.4	119395.0	2.0	200	39800	39800	40200	89.0	1.6	1069.6	423.2	21.7	494.4	224.818769299
92	3344.0	0.6	119733.5	2.0	200	38600	38600	39000	89.0	2.0	1057.0	417.9	22.5	493.9	222.54593258
93	3337.2	0.7	119429.1	2.0	200	39200	39200	39600	89.0	2.0	1062.3	430.4	22.1	502.8	221.623051773
